company_slug,name,role,confirmed,source_url,source_date,in_role_since,bio
ypf,Horacio Daniel Marín,Presidente & CEO,true,https://www.lanacion.com.ar/economia/horacio-marin-presidente-y-ceo-de-ypf-sobre-su-modelo-de-conduccion-yo-lo-llamo-plata-o-mierda-nid24082026/,2026-08-24,2023-12,"Ingeniero químico de la Universidad Nacional de La Plata, con una maestría en Ingeniería de Petróleo en la Universidad de Texas. Hizo casi toda su carrera en el Grupo Techint antes de asumir en YPF."
vista,Miguel Galuccio,Chairman & CEO,true,https://www.infobae.com/economia/2026/03/05/miguel-galuccio-presidente-de-vista-energy-la-realidad-macroeconomica-es-mucho-mejor-que-la-que-teniamos-hace-tiempo-atras/,2026-03-05,2017,"Fundó Vista en 2017. Antes había sido CEO de YPF y, antes de eso, ejecutivo de Schlumberger. En 2026 AmCham lo eligió empresario argentino del año."
pluspetrol,Adrián Vila,Chief Producing Assets (CPA),true,https://www.rionegro.com.ar/energia/pluspetrol-designo-a-adrian-vila-como-nuevo-gerente-general-para-argentina-2964464/,2026-05-17,2026-05,"Asumió la gerencia general de Pluspetrol Argentina en mayo de 2026, en reemplazo de Germán Macchi."
shell,Germán Burmeister,"Presidente de Shell Argentina, Uruguay y Chile",true,https://econojournal.com.ar/2025/09/german-burmeister-presidente-de-shell/,2026-08-27,2024-08,"Ingeniero en petróleo del ITBA con un MBA del IAE. Lleva más de veinte años en Shell, con puestos comerciales y de conducción en América Latina, África, Asia y Europa; llegó al cargo desde la presidencia de Shell en Kazajistán."
pae,Marcos Bulgheroni,Group Chief Executive Officer,true,https://www.lanacion.com.ar/economia/campo/marcos-bulgheroni-ceo-de-pae-quiere-invertir-en-biocombustibles-y-exportar-si-sale-una-ley-y-se-nid06082026/,2026-08-06,2017,"Group CEO de Pan American Energy desde 2017. La compañía es del grupo familiar Bulgheroni, que la conduce junto con su tío Alejandro."
chevron,Ana Simonato,Country Manager,true,https://www.chevron.com/who-we-are/leadership,2026-08-27,2025-07,Ingeniera química con más de veinticinco años en upstream. Empezó su carrera en PDVSA y entró a Chevron en 2006. Es la primera country manager de la compañía en la Argentina.
pampa,Marcelo Mindlin,Presidente del Directorio,true,https://ri.pampa.com/en/corporate-governance/board-of-directors/,2026-09-01,2006-06,Fundador de Pampa Energía e integrante de su directorio desde junio de 2006. Preside el directorio; la gerencia general está a cargo de Gustavo Mariani.
tecpetrol,Ricardo Markous,Chief Executive Officer (CEO),true,https://www.tecpetrol.com/en/leadership,2026-03-24,2021-04,"Ingeniero civil de la UBA con un Master of Science en Management de Stanford. Está en Tecpetrol desde 2005, donde condujo desarrollo de negocios, gas y comercialización; es CEO desde abril de 2021."
pecom_servicios_energia_sau,Horacio Bustillo,CEO,true,https://www.infobae.com/economia/networking/2025/10/14/pecom-designo-a-horacio-bustillo-como-su-nuevo-ceo/,2025-11-01,2025-11,"Ingeniero industrial de la Universidad Austral con un MBA de Harvard. Pasó por SLB y Pacific Drilling, y fue gerente general de AESA Servicios Petroleros. Asumió en PECOM en noviembre de 2025."
petroleos_sudamericanos_sa,Alfredo Bonatto,Presidente y CEO,true,https://www.shale24.com/oil-gas/de-250000-5-m-barriles-ano-10-claves-alfredo-bonatto-ceo-petroleos-sudamericanos-sobre-como-competir-mundo-convencional-n1430,2026-07-09,,
